Geography,Geographic Level,FIPS Code,LDH Region,Demographic Group,Vaccine Status,Count,x,y
_Region 4,REGION,,4,Other Race,Complete,20827,-10250354.371990027,3522792.7718235385
_Region 4,REGION,,4,Unknown Race,Complete,2880,-10250354.371990027,3522792.7718235385
_Region 4,REGION,,4,Aged 0-4,Incomplete,0,-10250354.371990027,3522792.7718235385
_Region 4,REGION,,4,Aged 18-29,Incomplete,2847,-10250354.371990027,3522792.7718235385
_Region 4,REGION,,4,Aged 30-39,Incomplete,2391,-10250354.371990027,3522792.7718235385
_Region 4,REGION,,4,Aged 40-49,Incomplete,2576,-10250354.371990027,3522792.7718235385
_Region 4,REGION,,4,Aged 50-59,Incomplete,2893,-10250354.371990027,3522792.7718235385
_Region 4,REGION,,4,Aged 5-17,Incomplete,1535,-10250354.371990027,3522792.7718235385
_Region 4,REGION,,4,Aged 60-69,Incomplete,2566,-10250354.371990027,3522792.7718235385
_Region 4,REGION,,4,Aged 70 plus,Incomplete,2045,-10250354.371990027,3522792.7718235385
_Region 4,REGION,,4,Age Unknown,Incomplete,23,-10250354.371990027,3522792.7718235385
_Region 4,REGION,,4,Black,Incomplete,5436,-10250354.371990027,3522792.7718235385
_Region 4,REGION,,4,Other Race,Incomplete,2477,-10250354.371990027,3522792.7718235385
_Region 4,REGION,,4,Unknown Race,Incomplete,297,-10250354.371990027,3522792.7718235385
_Region 4,REGION,,4,White,Incomplete,8666,-10250354.371990027,3522792.7718235385
_Region 4,REGION,,4,Female,Incomplete,9151,-10250354.371990027,3522792.7718235385
_Region 4,REGION,,4,Male,Incomplete,7666,-10250354.371990027,3522792.7718235385
_Region 4,REGION,,4,Gender Unkown,Incomplete,59,-10250354.371990027,3522792.7718235385
_Region 4,REGION,,4,Aged 0-4,Unvaccinated,42717,-10250354.371990027,3522792.7718235385
_Region 4,REGION,,4,Aged 18-29,Unvaccinated,82486,-10250354.371990027,3522792.7718235385
_Region 4,REGION,,4,Aged 30-39,Unvaccinated,61395,-10250354.371990027,3522792.7718235385
_Region 4,REGION,,4,Aged 40-49,Unvaccinated,46315,-10250354.371990027,3522792.7718235385
_Region 4,REGION,,4,Aged 50-59,Unvaccinated,47094,-10250354.371990027,3522792.7718235385
_Region 4,REGION,,4,Aged 5-17,Unvaccinated,105514,-10250354.371990027,3522792.7718235385
_Region 4,REGION,,4,Aged 60-69,Unvaccinated,20081,-10250354.371990027,3522792.7718235385
_Region 4,REGION,,4,Aged 70 plus,Unvaccinated,8212,-10250354.371990027,3522792.7718235385
_Region 4,REGION,,4,Age Unknown,Unvaccinated,,-10250354.371990027,3522792.7718235385
_Region 4,REGION,,4,Black,Unvaccinated,112551,-10250354.371990027,3522792.7718235385
_Region 4,REGION,,4,Other Race,Unvaccinated,3052,-10250354.371990027,3522792.7718235385
_Region 4,REGION,,4,Unknown Race,Unvaccinated,,-10250354.371990027,3522792.7718235385
_Region 4,REGION,,4,White,Unvaccinated,301352,-10250354.371990027,3522792.7718235385
_Region 4,REGION,,4,Female,Unvaccinated,189151,-10250354.371990027,3522792.7718235385
_Region 4,REGION,,4,Male,Unvaccinated,225307,-10250354.371990027,3522792.7718235385
_Region 4,REGION,,4,Gender Unkown,Unvaccinated,,-10250354.371990027,3522792.7718235385
_Region 5,REGION,,5,Aged 0-4,Complete,0,-10371002.436111776,3535685.7112354627
_Region 5,REGION,,5,Aged 18-29,Complete,5946,-10371002.436111776,3535685.7112354627
_Region 5,REGION,,5,Aged 30-39,Complete,7125,-10371002.436111776,3535685.7112354627
_Region 5,REGION,,5,Aged 40-49,Complete,8607,-10371002.436111776,3535685.7112354627
_Region 5,REGION,,5,Aged 50-59,Complete,12763,-10371002.436111776,3535685.7112354627
_Region 5,REGION,,5,Aged 5-17,Complete,879,-10371002.436111776,3535685.7112354627
_Region 5,REGION,,5,Aged 60-69,Complete,18226,-10371002.436111776,3535685.7112354627
_Region 5,REGION,,5,Aged 70 plus,Complete,19229,-10371002.436111776,3535685.7112354627
_Region 5,REGION,,5,Age Unknown,Complete,3,-10371002.436111776,3535685.7112354627
_Region 5,REGION,,5,Black,Complete,15380,-10371002.436111776,3535685.7112354627
_Region 5,REGION,,5,Other Race,Complete,9705,-10371002.436111776,3535685.7112354627
_Region 5,REGION,,5,Unknown Race,Complete,1518,-10371002.436111776,3535685.7112354627
_Region 5,REGION,,5,White,Complete,46175,-10371002.436111776,3535685.7112354627
_Region 5,REGION,,5,Female,Complete,40036,-10371002.436111776,3535685.7112354627
_Region 5,REGION,,5,Male,Complete,32432,-10371002.436111776,3535685.7112354627
_Region 5,REGION,,5,Gender Unkown,Complete,310,-10371002.436111776,3535685.7112354627
_Region 5,REGION,,5,White,Incomplete,5338,-10371002.436111776,3535685.7112354627
_Region 5,REGION,,5,Aged 0-4,Incomplete,0,-10371002.436111776,3535685.7112354627
_Region 5,REGION,,5,Aged 18-29,Incomplete,1440,-10371002.436111776,3535685.7112354627
_Region 5,REGION,,5,Aged 30-39,Incomplete,1189,-10371002.436111776,3535685.7112354627
_Region 5,REGION,,5,Aged 40-49,Incomplete,1273,-10371002.436111776,3535685.7112354627
_Region 5,REGION,,5,Aged 50-59,Incomplete,1498,-10371002.436111776,3535685.7112354627
_Region 5,REGION,,5,Aged 5-17,Incomplete,633,-10371002.436111776,3535685.7112354627
_Region 5,REGION,,5,Aged 60-69,Incomplete,1547,-10371002.436111776,3535685.7112354627
_Region 5,REGION,,5,Aged 70 plus,Incomplete,1369,-10371002.436111776,3535685.7112354627
_Region 5,REGION,,5,Age Unknown,Incomplete,6,-10371002.436111776,3535685.7112354627
_Region 5,REGION,,5,Black,Incomplete,2068,-10371002.436111776,3535685.7112354627
_Region 5,REGION,,5,Other Race,Incomplete,1387,-10371002.436111776,3535685.7112354627
_Region 5,REGION,,5,Unknown Race,Incomplete,162,-10371002.436111776,3535685.7112354627
_Region 5,REGION,,5,Female,Incomplete,4901,-10371002.436111776,3535685.7112354627
